,real 0 days 00:00:00,real 1 days 00:00:00,real 2 days 00:00:00,real 363 days 00:00:00,real 364 days 00:00:00,value
2015-12-31 21:00:00,,,,,,-20.7
2015-12-30 21:00:00,,,,,,-18.9
2015-12-29 21:00:00,-19.9,-19.1,-15.950000000000001,-16.9,-20.1,-15.6
2015-12-28 21:00:00,-21.6,-15.950000000000001,-17.55,-20.1,-19.9,-16.6
2015-12-27 21:00:00,-18.6,-17.55,-18.200000000000003,-19.9,-21.6,-13.3
2015-12-26 21:00:00,-18.0,-18.200000000000003,-22.2,-21.6,-18.6,-17.1
2015-12-25 21:00:00,-16.8,-22.2,-22.6,-18.6,-18.0,-19.6
2015-12-24 21:00:00,-20.2,-22.6,-17.45,-18.0,-16.8,-24.2
2015-12-23 21:00:00,-18.8,-17.45,-21.15,-16.8,-20.2,-26.4
2015-12-22 21:00:00,-11.7,-21.15,-25.8,-20.2,-18.8,-23.2
2015-12-21 21:00:00,-18.8,-25.8,-26.85,-18.8,-11.7,-23.5
2015-12-20 21:00:00,-26.3,-26.85,-26.0,-11.7,-18.8,-25.3
2015-12-19 21:00:00,-27.2,-26.0,-26.299999999999997,-18.8,-26.3,-26.5
2015-12-18 21:00:00,-25.9,-26.299999999999997,-27.05,-26.3,-27.2,-26.1
2015-12-17 21:00:00,-27.9,-27.05,-25.25,-27.2,-25.9,-24.7
2015-12-16 21:00:00,-29.1,-25.25,-23.25,-25.9,-27.9,-25.0
2015-12-15 21:00:00,-28.0,-23.25,-21.75,-27.9,-29.1,-22.5
2015-12-14 21:00:00,-25.8,-21.75,-23.55,-29.1,-28.0,-20.7
2015-12-13 21:00:00,-21.3,-23.55,-23.65,-28.0,-25.8,-22.2
2015-12-12 21:00:00,-23.1,-23.65,-23.799999999999997,-25.8,-21.3,-24.0
2015-12-11 21:00:00,-22.2,-23.799999999999997,-22.5,-21.3,-23.1,-25.1
2015-12-10 21:00:00,-23.2,-22.5,-19.4,-23.1,-22.2,-24.4
2015-12-09 21:00:00,-19.0,-19.4,-17.4,-22.2,-23.2,-26.0
2015-12-08 21:00:00,-15.9,-17.4,-17.7,-23.2,-19.0,-22.9
2015-12-07 21:00:00,-13.0,-17.7,-16.25,-19.0,-15.9,-21.8
2015-12-06 21:00:00,-15.1,-16.25,-16.0,-15.9,-13.0,-20.3
2015-12-05 21:00:00,-17.7,-16.0,-14.4,-13.0,-15.1,-14.8
2015-12-04 21:00:00,-14.7,-14.4,-17.35,-15.1,-17.7,-17.3
2015-12-03 21:00:00,-7.3,-17.35,-25.2,-17.7,-14.7,-21.5
2015-12-02 21:00:00,-14.8,-25.2,-22.0,-14.7,-7.3,-19.9
2015-12-01 21:00:00,-29.0,-22.0,-19.9,-7.3,-14.8,-21.4
2015-11-30 21:00:00,-22.4,-19.9,-15.8,-14.8,-29.0,-21.6
2015-11-29 21:00:00,-18.7,-15.8,-12.966666666666667,-29.0,-22.4,-21.1
2015-11-28 21:00:00,-11.9,-12.966666666666667,-18.8,-22.4,-18.7,-19.7
2015-11-27 21:00:00,-8.6,-18.8,-20.23333333333333,-18.7,-11.9,-21.7
2015-11-26 21:00:00,-18.2,-20.23333333333333,-19.866666666666664,-11.9,-8.6,-20.0
2015-11-25 21:00:00,-21.299999999999997,-19.866666666666664,-17.433333333333334,-8.6,-18.2,-18.1
2015-11-24 21:00:00,-19.9,-17.433333333333334,-17.5,-18.2,-21.299999999999997,-19.8
2015-11-23 21:00:00,-17.0,-17.5,-16.65,-21.299999999999997,-19.9,-18.3
2015-11-22 21:00:00,-15.9,-16.65,-17.633333333333333,-19.9,-17.0,-20.7
2015-11-20 21:00:00,-16.15,-15.866666666666667,-12.933333333333332,-15.9,-16.65,-20.6
2015-11-19 21:00:00,-13.8,-12.933333333333332,-10.1,-16.65,-16.15,-20.0
2015-11-18 21:00:00,-9.8,-10.1,-6.733333333333333,-16.15,-13.8,-19.2
2015-11-17 21:00:00,-10.15,-6.733333333333333,-11.6,-13.8,-9.8,-10.0
2015-11-16 21:00:00,-7.95,-11.6,-15.9,-9.8,-10.15,-4.3
2015-11-15 21:00:00,-13.25,-15.9,-14.25,-10.15,-7.95,-8.3
2015-11-14 21:00:00,-15.0,-14.25,-15.0,-7.95,-13.25,-17.7
2015-11-13 21:00:00,-14.0,-15.0,-16.833333333333332,-13.25,-15.0,-14.5
2015-11-12 21:00:00,-14.649999999999999,-16.833333333333332,-18.099999999999998,-15.0,-14.0,-15.7
2015-11-11 21:00:00,-17.8,-18.099999999999998,-17.099999999999998,-14.0,-14.649999999999999,-14.9
2015-11-10 21:00:00,-18.8,-17.099999999999998,-16.466666666666665,-14.649999999999999,-17.8,-16.7
2015-11-09 21:00:00,-16.9,-16.466666666666665,-18.166666666666668,-17.8,-18.8,-17.5
2015-11-08 21:00:00,-15.95,-18.166666666666668,-18.466666666666665,-18.8,-16.9,-17.5
2015-11-07 21:00:00,-19.1,-18.466666666666665,-15.766666666666666,-16.9,-15.95,-16.3
2015-11-06 21:00:00,-20.2,-15.766666666666666,-10.033333333333333,-15.95,-19.1,-15.0
2015-11-05 21:00:00,-15.65,-10.033333333333333,-10.233333333333333,-19.1,-20.2,-16.0
2015-11-04 21:00:00,-8.5,-10.233333333333333,-12.966666666666667,-20.2,-15.65,-13.1
2015-11-03 21:00:00,-10.2,-12.966666666666667,-13.133333333333335,-15.65,-8.5,-10.3
2015-11-02 21:00:00,-13.4,-13.133333333333335,-12.299999999999999,-8.5,-10.2,-12.1
2015-11-01 21:00:00,-14.850000000000001,-12.299999999999999,-7.966666666666666,-10.2,-13.4,-9.7
2015-10-31 21:00:00,-14.7,-7.966666666666666,-6.599999999999999,-13.4,-14.850000000000001,-7.5
2015-10-30 21:00:00,-9.95,-6.599999999999999,-7.5,-14.850000000000001,-14.7,-4.0
2015-10-29 21:00:00,-10.149999999999999,-7.5,-11.066666666666665,-14.7,-9.95,0.5
2015-10-28 21:00:00,-10.4,-11.066666666666665,-11.266666666666666,-9.95,-10.149999999999999,-1.7
2015-10-27 21:00:00,-13.149999999999999,-11.266666666666666,-11.5,-10.149999999999999,-10.4,-6.9
2015-10-26 21:00:00,-11.5,-11.5,-12.5,-10.4,-13.149999999999999,-10.8
2015-10-25 21:00:00,-11.0,-12.5,-11.5,-13.149999999999999,-11.5,-12.5
2015-10-24 21:00:00,-13.25,-11.5,-10.233333333333333,-11.5,-11.0,-11.0
2015-10-23 21:00:00,-12.85,-10.233333333333333,-6.8,-11.0,-13.25,-8.8
2015-10-22 21:00:00,-11.1,-6.8,-9.166666666666666,-13.25,-12.85,-8.5
2015-10-21 21:00:00,-8.35,-9.166666666666666,-3.8333333333333335,-12.85,-11.1,-3.7
2015-10-20 21:00:00,-8.4,-3.8333333333333335,-3.8333333333333335,-11.1,-8.35,-10.7
2015-10-19 21:00:00,-0.8999999999999999,-3.8333333333333335,-1.2333333333333334,-8.35,-8.4,-9.7
2015-10-18 21:00:00,-2.8,-1.2333333333333334,-6.766666666666666,-8.4,-0.8999999999999999,-5.9
2015-10-17 21:00:00,-0.8500000000000001,-6.766666666666666,-6.900000000000001,-0.8999999999999999,-2.8,-2.0
2015-10-16 21:00:00,-6.949999999999999,-6.900000000000001,-5.2,-2.8,-0.8500000000000001,-6.4
2015-10-15 21:00:00,-7.65,-5.2,-3.533333333333333,-0.8500000000000001,-6.949999999999999,-5.4
2015-10-14 21:00:00,-6.3500000000000005,-3.533333333333333,-2.3000000000000003,-6.949999999999999,-7.65,-2.9
2015-10-13 21:00:00,-4.0,-2.3000000000000003,-4.3,-7.65,-6.3500000000000005,-2.6
2015-10-12 21:00:00,-3.5500000000000003,-4.3,-2.9333333333333336,-6.3500000000000005,-4.0,0.2
2015-10-10 21:00:00,-3.75,-1.4000000000000001,-0.6666666666666669,-3.5500000000000003,-4.3,-1.3
2015-10-09 21:00:00,-1.1,-0.6666666666666669,-2.9,-4.3,-3.75,-2.0
2015-10-08 21:00:00,-0.9500000000000002,-2.9,-1.133333333333333,-3.75,-1.1,-0.1
2015-10-07 21:00:00,-4.6,-1.133333333333333,-0.09999999999999999,-1.1,-0.9500000000000002,0.5
2015-10-06 21:00:00,-1.9499999999999997,-0.09999999999999999,-1.3333333333333333,-0.9500000000000002,-4.6,0.5
2015-10-05 21:00:00,-0.25,-1.3333333333333333,-1.0333333333333332,-4.6,-1.9499999999999997,0.2
2015-10-04 21:00:00,-0.35,-1.0333333333333332,-0.23333333333333336,-1.9499999999999997,-0.25,-3.3
2015-10-03 21:00:00,0.1,-0.23333333333333336,-2.8333333333333335,-0.25,-0.35,-3.3
2015-10-02 21:00:00,0.3,-2.8333333333333335,-2.8666666666666667,-0.35,0.1,-1.3
2015-10-01 21:00:00,-3.4000000000000004,-2.8666666666666667,-1.1333333333333333,0.1,0.3,-1.7
2015-09-30 21:00:00,-3.25,-1.1333333333333333,-0.6666666666666666,0.3,-3.4000000000000004,-2.1
2015-09-29 21:00:00,-0.25,-0.6666666666666666,0.7333333333333334,-3.4000000000000004,-3.25,-2.9
2015-09-28 21:00:00,1.5,0.7333333333333334,-1.3666666666666665,-3.25,-0.25,-5.0
2015-09-27 21:00:00,2.25,-1.3666666666666665,-2.6,-0.25,1.5,-2.3
2015-09-26 21:00:00,-1.05,-2.6,1.3666666666666665,1.5,2.25,-2.0
2015-09-25 21:00:00,-1.35,1.3666666666666665,0.8666666666666667,2.25,-1.05,-5.1
2015-09-24 21:00:00,3.4,0.8666666666666667,1.6666666666666667,-1.05,-1.35,-2.7
2015-09-23 21:00:00,1.4000000000000001,1.6666666666666667,1.8666666666666665,-1.35,3.4,-0.2
2015-09-22 21:00:00,-0.09999999999999998,1.8666666666666665,1.4666666666666668,3.4,1.4000000000000001,5.2
2015-09-21 21:00:00,-0.95,1.4666666666666668,5.5,1.4000000000000001,-0.09999999999999998,7.5
2015-09-20 21:00:00,1.3,5.5,4.266666666666667,-0.09999999999999998,-0.95,1.8
2015-09-19 21:00:00,2.55,4.266666666666667,6.95,-0.95,1.3,11.4
2015-09-18 21:00:00,1.35,6.95,4.866666666666666,1.3,2.55,10.1
2015-09-17 21:00:00,3.1,4.866666666666666,7.333333333333333,2.55,1.35,10.8
2015-09-16 21:00:00,2.55,7.333333333333333,5.733333333333333,1.35,3.1,9.5
2015-09-15 21:00:00,9.4,5.733333333333333,7.2,3.1,2.55,3.2
2015-09-14 21:00:00,5.7,7.2,7.533333333333334,2.55,9.4,5.8
2015-09-13 21:00:00,5.15,7.533333333333334,11.1,9.4,5.7,11.3
2015-09-12 21:00:00,6.5,11.1,9.033333333333333,5.7,5.15,9.6
2015-09-11 21:00:00,12.3,9.033333333333333,5.966666666666666,5.15,6.5,8.7
2015-09-10 21:00:00,8.25,5.966666666666666,5.0,6.5,12.3,10.6
2015-09-09 21:00:00,4.65,5.0,7.533333333333334,12.3,8.25,8.6
2015-09-08 21:00:00,4.4,7.533333333333334,9.1,8.25,4.65,6.2
2015-09-07 21:00:00,7.1499999999999995,9.1,8.6,4.65,4.4,8.3
2015-09-06 21:00:00,9.4,8.6,8.466666666666667,4.4,7.1499999999999995,8.5
2015-09-05 21:00:00,9.95,8.466666666666667,7.933333333333333,7.1499999999999995,9.4,5.9
2015-09-04 21:00:00,9.5,7.933333333333333,10.533333333333333,9.4,9.95,6.4
2015-09-03 21:00:00,7.3999999999999995,10.533333333333333,9.933333333333334,9.95,9.5,9.0
2015-09-02 21:00:00,10.95,9.933333333333334,9.5,9.5,7.3999999999999995,9.7
2015-09-01 21:00:00,11.9,9.5,11.200000000000001,7.3999999999999995,10.95,6.0
2015-08-31 21:00:00,10.35,11.200000000000001,9.633333333333333,10.95,11.9,7.8
2015-08-30 21:00:00,10.3,9.633333333333333,8.233333333333333,11.9,10.35,13.0
2015-08-29 21:00:00,9.7,8.233333333333333,9.799999999999999,10.35,10.3,9.5
2015-08-28 21:00:00,8.6,9.799999999999999,11.100000000000001,10.3,9.7,7.5
2015-08-27 21:00:00,7.85,11.100000000000001,9.966666666666667,9.7,8.6,13.7
2015-08-26 21:00:00,11.350000000000001,9.966666666666667,7.8999999999999995,8.6,7.85,10.6
2015-08-25 21:00:00,9.95,7.8999999999999995,9.9,7.85,11.350000000000001,10.0
2015-08-24 21:00:00,7.3,9.9,8.966666666666667,11.350000000000001,9.95,9.1
2015-08-23 21:00:00,10.4,8.966666666666667,12.200000000000001,9.95,7.3,8.9
2015-08-22 21:00:00,8.4,12.200000000000001,12.033333333333333,7.3,10.4,10.1
2015-08-21 21:00:00,10.9,12.033333333333333,11.733333333333334,10.4,8.4,14.8
2015-08-20 21:00:00,11.55,11.733333333333334,10.799999999999999,8.4,10.9,13.0
2015-08-19 21:00:00,11.15,10.799999999999999,12.133333333333333,10.9,11.55,12.9
2015-08-18 21:00:00,11.15,12.133333333333333,11.666666666666666,11.55,11.15,10.1
2015-08-17 21:00:00,11.2,11.666666666666666,11.633333333333333,11.15,11.15,14.0
2015-08-16 21:00:00,13.05,11.633333333333333,11.833333333333334,11.15,11.2,8.9
2015-08-15 21:00:00,11.5,11.833333333333334,12.5,11.2,13.05,11.9
2015-08-14 21:00:00,11.95,12.5,14.333333333333334,13.05,11.5,11.6
2015-08-13 21:00:00,13.15,14.333333333333334,13.0,11.5,11.95,11.2
2015-08-12 21:00:00,14.100000000000001,13.0,10.833333333333334,11.95,13.15,14.8
2015-08-11 21:00:00,12.45,10.833333333333334,10.533333333333333,13.15,14.100000000000001,14.1
2015-08-10 21:00:00,10.8,10.533333333333333,10.766666666666666,14.100000000000001,12.45,10.9
2015-08-09 21:00:00,9.4,10.766666666666666,9.933333333333334,12.45,10.8,12.8
2015-08-08 21:00:00,10.05,9.933333333333334,12.133333333333333,10.8,9.4,12.2
2015-08-07 21:00:00,8.75,12.133333333333333,11.833333333333334,9.4,10.05,12.3
2015-08-06 21:00:00,12.0,11.833333333333334,12.299999999999999,10.05,8.75,12.4
2015-08-05 21:00:00,11.75,12.299999999999999,12.633333333333333,8.75,12.0,12.0
2015-08-04 21:00:00,11.95,12.633333333333333,11.6,12.0,11.75,13.0
2015-08-03 21:00:00,12.15,11.6,11.533333333333333,11.75,11.95,13.6
2015-08-02 21:00:00,11.4,11.533333333333333,3.033333333333333,11.95,12.15,12.0
2015-08-01 21:00:00,11.65,3.033333333333333,3.466666666666667,12.15,11.4,11.3
2015-07-31 21:00:00,-1.5499999999999998,3.466666666666667,11.866666666666667,11.4,11.65,12.2
2015-07-30 21:00:00,-1.3499999999999996,11.866666666666667,10.466666666666667,11.65,-1.5499999999999998,13.1
2015-07-29 21:00:00,11.75,10.466666666666667,10.633333333333333,-1.5499999999999998,-1.3499999999999996,12.1
2015-07-28 21:00:00,10.05,10.633333333333333,11.0,-1.3499999999999996,11.75,11.3
2015-07-27 21:00:00,10.15,11.0,11.6,11.75,10.05,11.6
2015-07-26 21:00:00,10.7,11.6,11.333333333333334,10.05,10.15,11.6
